pinyin,radical,hsk_level,usage,meaning,character
yǐ,己,2,5,"['already', 'finished', 'stop', 'then', 'afterwards']",已
sì,己,,3,"['6th earthly branch', '9-11 a.m.']",巳
gōng,弓,,5,"['bow', 'arched', 'Kangxi radical number 57']",弓
zǐ,子,1,5,"['son', 'child', 'seed', 'egg', 'child', 'small thing', 'noun suffix(zi5)', 'midnight', 'Kangxi radical number 39', '1st terrestrial branch', '']",子
wèi,卩,4,5,"['to guard', 'to protect', 'to defend', 'surname Wei']",卫
yě,乙,2,5,"['also', 'too']",也
nǚ,女,1,5,"['female', 'woman', 'feminine', 'Kangxi radical number 38']",女
rèn,刀,,5,"['edge of blade', 'cutlery', 'knife edge']",刃
fēi,飞,1,5,"['to fly', 'to go quickly', 'dart', 'swiftly', 'Kangxi radical 183']",飞
xí,乙,1,5,"['to practice', 'to study', 'habit']",习
chā,又,5,5,"['fork', 'pitchfork', 'prong', 'pick', 'cross', 'intersect', '""X""']",叉
mǎ,马,3,5,"['horse', 'surname', 'KangXi radical 187']",马
xiāng,幺,5,5,"['country', 'rural', 'village']",乡
fēng,丨,4,5,"['abundant', 'lush', 'bountiful', 'plenty', 'buxom', 'good-looking']",丰
wáng,王,5,5,"['king', 'ruler', 'royal', 'surname Wang', 'Kangxi radical 96']",王
kāi,廾,1,5,"['to open', 'to initiate', 'to begin', 'to start', 'to operate (vehicle)', 'beginning']",开
jǐng,二,6,5,"['well', 'mine shaft', 'pit', 'neat', 'orderly']",井
tiān,大,1,5,"['day', 'sky', 'heaven', 'god', 'celestial']",天
fū,大,2,5,"['man', 'male adult', 'husband']",夫
yuán,儿,3,5,"['Chinese monetary unit', 'dollar', 'primary', 'first']",元
wú,无,4,5,"['no', 'none', 'not', 'to lack', 'negative', '-less', 'not to have', 'Kangxi radical number 71']",无
yún,二,4,5,['cloud'],云
zhuān,一,4,5,"['concentrated', 'specialized', 'monopolize', 'take sole possession']",专
gài,一,6,4,"['beggar', 'beg', 'give']",丐
zā,扌,6,5,"['tie with string or ribbon', 'bind with rope or cord', 'to stop', 'pull up', 'pierce']",扎
yì,艹,4,5,"['art', 'talent', 'ability', 'craft']",艺
mù,木,5,5,"['tree', 'wood', 'lumber', 'wooden', 'Kangxi radical number 75']",木
wǔ,二,1,5,"['five', '5']",五
zhī,支,4,5,"['to support', 'to sustain', 'to erect', 'to raise', 'branch', 'division', 'to draw money']",支
tīng,厂,4,5,"['hall', 'central room', 'office']",厅
bù,一,1,5,"['no', 'not', 'un-', 'negative prefix']",不
quǎn,犬,6,5,"['dog', 'puppy', 'Kangxi radical 94']",犬
tài,大,1,5,"['highest', 'greatest', 'very', 'extremely', 'too', 'much', 'big', 'extreme']",太
qū,匸,4,5,"['area', 'district', 'region', 'ward']",区
lì,厂,3,5,"['history', 'calendar', 'to experience', 'to undergo']",历
dǎi,歹,6,4,"['bad', 'vicious', 'depraved', 'wicked', 'evil', 'Kangxi radical number 78']",歹
yǒu,又,1,5,"['friend', 'companion', 'fraternity']",友
yóu,尢,4,5,"['outstanding', 'particularly', 'especially', 'surname You']",尤
pī,匸,5,5,"['bolt of cloth', 'mate', 'one of a pair', 'measure word for horses', 'mules and bolts of cloth']",匹
chē,车,1,5,"['car', 'a vehicle', 'machine', 'to shape with a lathe', 'Kangxi radical 159']",车
