#,Hanzi,Unicode,Mandarin reading(s),level
1,一,U+4E00,yī,1
2,乙,U+4E59,yǐ,1
3,二,U+4E8C,èr,1
4,十,U+5341,shí,1
5,丁,U+4E01,dīng,1
6,厂,U+5382,chǎng,1
7,七,U+4E03,qī,1
8,卜,U+535C,"bo, bǔ",1
9,八,U+516B,bā,1
10,人,U+4EBA,rén,1
11,入,U+5165,rù,1
12,儿,U+513F,ér,1
13,匕,U+5315,bǐ,1
14,几,U+51E0,"jī, jǐ",1
15,九,U+4E5D,jiǔ,1
16,刁,U+5201,diāo,1
17,了,U+4E86,"le, liǎo",1
18,刀,U+5200,dāo,1
19,力,U+529B,lì,1
20,乃,U+4E43,nǎi,1
21,又,U+53C8,yòu,1
22,三,U+4E09,sān,1
23,干,U+5E72,"gān, gàn",1
24,于,U+4E8E,yú,1
25,亏,U+4E8F,kuī,1
26,工,U+5DE5,gōng,1
27,土,U+571F,tǔ,1
28,士,U+58EB,shì,1
29,才,U+624D,cái,1
30,下,U+4E0B,xià,1
31,寸,U+5BF8,cùn,1
32,大,U+5927,"dà, dài",1
33,丈,U+4E08,zhàng,1
34,与,U+4E0E,"yǔ, yù",1
35,万,U+4E07,"mò, wàn",1
36,上,U+4E0A,"shǎng, shàng",1
37,小,U+5C0F,xiǎo,1
38,口,U+53E3,kǒu,1
39,山,U+5C71,shān,1
40,巾,U+5DFE,jīn,1
41,千,U+5343,qiān,1
42,乞,U+4E5E,qǐ,1
43,川,U+5DDD,chuān,1
44,亿,U+4EBF,yì,1
45,个,U+4E2A,"gě, gè",1
46,夕,U+5915,xī,1
47,久,U+4E45,jiǔ,1
48,么,U+4E48,me,1
49,勺,U+52FA,sháo,1
50,凡,U+51E1,fán,1
51,丸,U+4E38,wán,1
52,及,U+53CA,jí,1
53,广,U+5E7F,guǎng,1
54,亡,U+4EA1,wáng,1
55,门,U+95E8,mén,1
56,丫,U+4E2B,yā,1
57,义,U+4E49,yì,1
58,之,U+4E4B,zhī,1
59,尸,U+5C38,shī,1
60,己,U+5DF1,jǐ,1
61,已,U+5DF2,yǐ,1
62,巳,U+5DF3,sì,1
63,弓,U+5F13,gōng,1
64,子,U+5B50,zǐ,1
65,卫,U+536B,wèi,1
66,也,U+4E5F,yě,1
67,女,U+5973,nǚ,1
68,刃,U+5203,rèn,1
69,飞,U+98DE,fēi,1
70,习,U+4E60,xí,1
71,叉,U+53C9,"chā, chá, chǎ, chà",1
72,马,U+9A6C,mǎ,1
73,乡,U+4E61,xiāng,1
74,丰,U+4E30,fēng,1
75,王,U+738B,wáng,1
76,开,U+5F00,kāi,1
77,井,U+4E95,jǐng,1
78,天,U+5929,tiān,1
79,夫,U+592B,fū,1
80,元,U+5143,yuán,1
81,无,U+65E0,"mó, wú",1
82,云,U+4E91,yún,1
83,专,U+4E13,zhuān,1
84,丐,U+4E10,gài,1
85,扎,U+624E,"zā, zhā, zhá",1
86,艺,U+827A,yì,1
87,木,U+6728,mù,1
88,五,U+4E94,wǔ,1
89,支,U+652F,zhī,1
90,厅,U+5385,tīng,1
91,不,U+4E0D,bù,1
92,犬,U+72AC,quǎn,1
93,太,U+592A,tài,1
94,区,U+533A,"ōu, qū",1
95,历,U+5386,lì,1
96,歹,U+6B79,dǎi,1
97,友,U+53CB,yǒu,1
98,尤,U+5C24,yóu,1
99,匹,U+5339,pǐ,1
100,车,U+8F66,"chē, jū",1
101,巨,U+5DE8,jù,1
102,牙,U+7259,yá,1
103,屯,U+5C6F,tún,1
104,戈,U+6208,gē,1
105,比,U+6BD4,bǐ,1
106,互,U+4E92,hù,1
107,切,U+5207,"qiē, qiè",1
108,瓦,U+74E6,"wǎ, wà",1
109,止,U+6B62,zhǐ,1
110,少,U+5C11,"shǎo, shào",1
111,曰,U+66F0,yuē,1
112,日,U+65E5,rì,1
113,中,U+4E2D,"zhōng, zhòng",1
114,贝,U+8D1D,bèi,1
115,冈,U+5188,gāng,1
116,内,U+5185,nèi,1
117,水,U+6C34,shuǐ,1
118,见,U+89C1,"jiàn, xiàn",1
119,午,U+5348,wǔ,1
120,牛,U+725B,niú,1
121,手,U+624B,shǒu,1
122,气,U+6C14,qì,1
123,毛,U+6BDB,máo,1
124,壬,U+58EC,rén,1
125,升,U+5347,shēng,1
126,夭,U+592D,yāo,1
127,长,U+957F,"cháng, zhǎng",1
128,仁,U+4EC1,rén,1
129,什,U+4EC0,"shén, shí",1
130,片,U+7247,"piān, piàn",1
131,仆,U+4EC6,"pū, pú",1
132,化,U+5316,huà,1
133,仇,U+4EC7,"chóu, qiú",1
134,币,U+5E01,bì,1
135,仍,U+4ECD,réng,1
136,仅,U+4EC5,jǐn,1
137,斤,U+65A4,jīn,1
138,爪,U+722A,"zhǎo, zhuǎ",1
139,反,U+53CD,fǎn,1
140,介,U+4ECB,jiè,1
141,父,U+7236,fù,1
142,从,U+4ECE,cóng,1
143,仑,U+4ED1,lún,1
144,今,U+4ECA,jīn,1
145,凶,U+51F6,xiōng,1
146,分,U+5206,"fēn, fèn",1
147,乏,U+4E4F,fá,1
148,公,U+516C,gōng,1
149,仓,U+4ED3,cāng,1
150,月,U+6708,yuè,1
151,氏,U+6C0F,"shì, zhī",1
152,勿,U+52FF,wù,1
153,欠,U+6B20,qiàn,1
154,风,U+98CE,fēng,1
155,丹,U+4E39,dān,1
156,匀,U+5300,yún,1
157,乌,U+4E4C,wū,1
158,勾,U+52FE,"gōu, gòu",1
159,凤,U+51E4,fèng,1
160,六,U+516D,liù,1
161,文,U+6587,wén,1
162,亢,U+4EA2,kàng,1
163,方,U+65B9,fāng,1
164,火,U+706B,huǒ,1
165,为,U+4E3A,"wéi, wèi",1
166,斗,U+6597,"dǒu, dòu",1
167,忆,U+5FC6,yì,1
168,计,U+8BA1,jì,1
169,订,U+8BA2,dìng,1
170,户,U+6237,hù,1
171,认,U+8BA4,rèn,1
172,冗,U+5197,rǒng,1
173,讥,U+8BA5,jī,1
174,心,U+5FC3,xīn,1
175,尺,U+5C3A,"chě, chǐ",1
176,引,U+5F15,yǐn,1
177,丑,U+4E11,chǒu,1
178,巴,U+5DF4,bā,1
179,孔,U+5B54,kǒng,1
180,队,U+961F,duì,1
181,办,U+529E,bàn,1
182,以,U+4EE5,yǐ,1
183,允,U+5141,yǔn,1
184,予,U+4E88,"yú, yǔ",1
185,邓,U+9093,dèng,1
186,劝,U+529D,quàn,1
